t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
73.000000,2.987497,2.980000,2.980000,6.000000,0.000000,0.036794,0.036794,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
73.500000,2.986014,2.982000,2.990000,6.000000,0.000000,0.035597,0.035597,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
74.000000,2.984604,2.980000,3.000000,6.000000,0.000000,0.033833,0.033833,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
74.500000,2.983207,2.992000,2.980000,6.000000,0.000000,0.033518,0.033518,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
75.000000,2.981803,2.976000,2.990000,6.000000,0.000000,0.033702,0.033702,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
75.500000,2.980203,2.977000,2.980000,6.000000,0.000000,0.038417,0.038417,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
76.000000,2.978785,2.979000,2.970000,6.000000,0.000000,0.034032,0.034032,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
76.500000,2.977312,2.982000,2.970000,6.000000,0.000000,0.035345,0.035345,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
77.000000,2.975715,2.973000,2.990000,6.000000,0.000000,0.038312,0.038312,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
77.500000,2.974242,2.987000,2.970000,6.000000,0.000000,0.035366,0.035366,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
78.000000,2.972895,2.976000,2.960000,6.000000,0.000000,0.032322,0.032322,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
78.500000,2.971503,2.979000,2.980000,6.000000,0.000000,0.033414,0.033414,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
79.000000,2.970079,2.975000,2.960000,6.000000,0.000000,0.034185,0.034185,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
79.500000,2.968685,2.970000,2.960000,6.000000,0.000000,0.033434,0.033434,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
80.000000,2.967134,2.966000,2.950000,6.000000,0.000000,0.037244,0.037244,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
80.500000,2.965678,2.969000,2.980000,6.000000,0.000000,0.034927,0.034927,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
81.000000,2.964207,2.960000,2.980000,6.000000,0.000000,0.035304,0.035304,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
81.500000,2.962728,2.964000,2.970000,6.000000,0.000000,0.035503,0.035503,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
82.000000,2.961210,2.963000,2.950000,6.000000,0.000000,0.036437,0.036437,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
82.500000,2.959611,2.958000,2.960000,6.000000,0.000000,0.038366,0.038366,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
83.000000,2.958045,2.962000,2.960000,6.000000,0.000000,0.037588,0.037588,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
83.500000,2.956522,2.950000,2.970000,6.000000,0.000000,0.036557,0.036557,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
84.000000,2.954927,2.951000,2.940000,6.000000,0.000000,0.038284,0.038284,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
84.500000,2.953366,2.956000,2.970000,6.000000,0.000000,0.037466,0.037466,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
85.000000,2.951832,2.953000,2.960000,6.000000,0.000000,0.036816,0.036816,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
85.500000,2.950251,2.959000,2.950000,6.000000,0.000000,0.037947,0.037947,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
86.000000,2.948753,2.953000,2.930000,6.000000,0.000000,0.035936,0.035936,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
