experiment_id,t_s,requested_setpoint_m,effective_setpoint_m,backstop_decision,pump_command,pump_permitted,pump_energised,valve_position,true_tank_level_m
EXP-SCN004-backstop-enabled-41fa58ff,44.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.069279
EXP-SCN004-backstop-enabled-41fa58ff,45.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.067962
EXP-SCN004-backstop-enabled-41fa58ff,45.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.066510
EXP-SCN004-backstop-enabled-41fa58ff,46.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.065192
EXP-SCN004-backstop-enabled-41fa58ff,46.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.063713
EXP-SCN004-backstop-enabled-41fa58ff,47.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.062373
EXP-SCN004-backstop-enabled-41fa58ff,47.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.060958
EXP-SCN004-backstop-enabled-41fa58ff,48.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.059613
EXP-SCN004-backstop-enabled-41fa58ff,48.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.058251
EXP-SCN004-backstop-enabled-41fa58ff,49.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.056669
EXP-SCN004-backstop-enabled-41fa58ff,49.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.055290
EXP-SCN004-backstop-enabled-41fa58ff,50.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.053845
EXP-SCN004-backstop-enabled-41fa58ff,50.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.052314
EXP-SCN004-backstop-enabled-41fa58ff,51.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.050818
EXP-SCN004-backstop-enabled-41fa58ff,51.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.049321
EXP-SCN004-backstop-enabled-41fa58ff,52.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.047741
EXP-SCN004-backstop-enabled-41fa58ff,52.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.046190
EXP-SCN004-backstop-enabled-41fa58ff,53.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.044736
EXP-SCN004-backstop-enabled-41fa58ff,53.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.043297
EXP-SCN004-backstop-enabled-41fa58ff,54.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.041889
EXP-SCN004-backstop-enabled-41fa58ff,54.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.040469
EXP-SCN004-backstop-enabled-41fa58ff,55.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.039017
EXP-SCN004-backstop-enabled-41fa58ff,55.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.037644
EXP-SCN004-backstop-enabled-41fa58ff,56.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.036124
EXP-SCN004-backstop-enabled-41fa58ff,56.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.034809
EXP-SCN004-backstop-enabled-41fa58ff,57.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.033241
EXP-SCN004-backstop-enabled-41fa58ff,57.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.031924
EXP-SCN004-backstop-enabled-41fa58ff,58.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.030397
EXP-SCN004-backstop-enabled-41fa58ff,58.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.028799
EXP-SCN004-backstop-enabled-41fa58ff,59.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.027330
EXP-SCN004-backstop-enabled-41fa58ff,59.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.025738
EXP-SCN004-backstop-enabled-41fa58ff,60.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.024341
EXP-SCN004-backstop-enabled-41fa58ff,60.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.022928
EXP-SCN004-backstop-enabled-41fa58ff,61.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.021504
EXP-SCN004-backstop-enabled-41fa58ff,61.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.019962
EXP-SCN004-backstop-enabled-41fa58ff,62.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.018496
EXP-SCN004-backstop-enabled-41fa58ff,62.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.016969
EXP-SCN004-backstop-enabled-41fa58ff,63.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.015617
EXP-SCN004-backstop-enabled-41fa58ff,63.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.014257
EXP-SCN004-backstop-enabled-41fa58ff,64.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.012923
EXP-SCN004-backstop-enabled-41fa58ff,64.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.011462
EXP-SCN004-backstop-enabled-41fa58ff,65.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.009921
EXP-SCN004-backstop-enabled-41fa58ff,65.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.008436
EXP-SCN004-backstop-enabled-41fa58ff,66.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.007061
EXP-SCN004-backstop-enabled-41fa58ff,66.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.005611
EXP-SCN004-backstop-enabled-41fa58ff,67.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.004185
EXP-SCN004-backstop-enabled-41fa58ff,67.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.002654
EXP-SCN004-backstop-enabled-41fa58ff,68.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.001162
EXP-SCN004-backstop-enabled-41fa58ff,68.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.999593
EXP-SCN004-backstop-enabled-41fa58ff,69.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.998207
EXP-SCN004-backstop-enabled-41fa58ff,69.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.996847
EXP-SCN004-backstop-enabled-41fa58ff,70.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.995329
EXP-SCN004-backstop-enabled-41fa58ff,70.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.993793
EXP-SCN004-backstop-enabled-41fa58ff,71.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.992238
EXP-SCN004-backstop-enabled-41fa58ff,71.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.990779
EXP-SCN004-backstop-enabled-41fa58ff,72.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.989244
EXP-SCN004-backstop-enabled-41fa58ff,72.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.987755
EXP-SCN004-backstop-enabled-41fa58ff,73.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.986387
EXP-SCN004-backstop-enabled-41fa58ff,73.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.985019
EXP-SCN004-backstop-enabled-41fa58ff,74.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.983633
EXP-SCN004-backstop-enabled-41fa58ff,74.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.982288
EXP-SCN004-backstop-enabled-41fa58ff,75.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.980773
EXP-SCN004-backstop-enabled-41fa58ff,75.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.979273
EXP-SCN004-backstop-enabled-41fa58ff,76.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.977697
EXP-SCN004-backstop-enabled-41fa58ff,76.500000,3.200000,3.200000,PASS,0,0,0,1.000000,2.976243
EXP-SCN004-backstop-enabled-41fa58ff,77.000000,3.200000,3.200000,PASS,0,0,0,1.000000,2.974924
