t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
74.000000,2.983633,2.983000,2.990000,6.000000,0.000000,0.033252,0.033252,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
74.500000,2.982288,2.970000,2.980000,6.000000,0.000000,0.032295,0.032295,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
75.000000,2.980773,2.986000,2.990000,6.000000,0.000000,0.036359,0.036359,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
75.500000,2.979273,2.967000,2.970000,6.000000,0.000000,0.035980,0.035980,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
76.000000,2.977697,2.984000,2.990000,6.000000,0.000000,0.037827,0.037827,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
76.500000,2.976243,2.974000,2.970000,6.000000,0.000000,0.034905,0.034905,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
77.000000,2.974924,2.972000,2.980000,6.000000,0.000000,0.031655,0.031655,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
77.500000,2.973500,2.973000,2.960000,6.000000,0.000000,0.034182,0.034182,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
78.000000,2.971974,2.973000,2.970000,6.000000,0.000000,0.036623,0.036623,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
78.500000,2.970505,2.965000,2.970000,6.000000,0.000000,0.035240,0.035240,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
79.000000,2.969165,2.967000,2.970000,6.000000,0.000000,0.032178,0.032178,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
79.500000,2.967641,2.967000,2.960000,6.000000,0.000000,0.036574,0.036574,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
80.000000,2.966039,2.968000,2.970000,6.000000,0.000000,0.038446,0.038446,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
